Rank,Name,Nationality,Position,Team,League,Age,Birth Year,Matches Played,Matches Started,Playing Time Min,90 Minutes Played,Goals,Assists,Goals + Assists,Goals - Penalty Kick,Penalty Kick,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected xAG,Non-Penalty Expected Goals + Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Receptions,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Goals - Penalty Kick Per 90,Per 90 Minutes G+A-PK,Expected Goals Per 90,Expected Assisted Goals Per 90,Per 90 Minutes xG+xAG,Non-Penalty Expected Goals Per 90,Non-Penalty Expected Goals + Expected Assisted Goals Per 90
130,Anuar,ma MAR,"FW,MF",Valladolid,es La Liga,30-033,1995,15,13,1136,12.6,2,0,2,2,0,0,5,0,1.3,1.3,0.5,1.8,13,17,34,0.16,0.00,0.16,0.16,0.16,0.10,0.04,0.14,0.10,0.14
131,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-253,1992,20,16,1558,17.3,0,1,1,0,0,0,1,0,0.1,0.1,1.9,2.0,36,64,73,0.00,0.06,0.06,0.00,0.06,0.01,0.11,0.12,0.01,0.12
132,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,27-017,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
133,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-140,1995,22,18,1537,17.1,6,0,6,3,3,3,7,0,4.9,2.5,0.3,2.8,8,43,20,0.35,0.00,0.35,0.18,0.18,0.29,0.02,0.30,0.15,0.16
134,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-209,2002,21,19,1615,17.9,0,0,0,0,0,0,7,0,0.3,0.3,0.8,1.1,17,69,33,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
135,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-188,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25-347,1999,3,3,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-211,2001,22,10,1053,11.7,2,0,2,2,0,1,0,0,4.8,4.0,0.3,4.3,15,11,47,0.17,0.00,0.17,0.17,0.17,0.41,0.03,0.44,0.34,0.37
138,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-234,1996,19,18,1454,16.2,0,1,1,0,0,0,2,0,0.0,0.0,1.2,1.2,27,44,52,0.00,0.06,0.06,0.00,0.06,0.00,0.07,0.07,0.00,0.07
139,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-356,1993,14,13,1180,13.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-128,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
