Rank,Name,Nationality,Position,Team,League,Age,Birth Year,Matches Played,Matches Started,Playing Time Min,90 Minutes Played,Goals,Assists,Goals + Assists,Goals - Penalty Kick,Penalty Kick,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected xAG,Non-Penalty Expected Goals + Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Receptions,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Goals - Penalty Kick Per 90,Per 90 Minutes G+A-PK,Expected Goals Per 90,Expected Assisted Goals Per 90,Per 90 Minutes xG+xAG,Non-Penalty Expected Goals Per 90,Non-Penalty Expected Goals + Expected Assisted Goals Per 90
1631,Rafik Messali,fr FRA,DF,Toulouse,fr Ligue 1,21-295,2003,5,1,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,8,4,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22
1632,Junior Messias,br BRA,"MF,FW",Genoa,it Serie A,33-280,1991,7,3,374,4.2,1,1,2,1,0,1,1,0,2.0,1.0,0.3,1.3,15,15,29,0.24,0.24,0.48,0.24,0.48,0.47,0.07,0.54,0.24,0.31
1633,Connor Metcalfe,au AUS,MF,St. Pauli,de Bundesliga,25-104,1999,4,2,227,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,6,8,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19
1634,Karol Mets,ee EST,DF,St. Pauli,de Bundesliga,31-277,1993,10,10,900,10.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,54,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
1635,Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,33-158,1991,19,11,1045,11.6,1,0,1,1,0,0,2,0,1.3,1.3,0.5,1.8,31,69,83,0.09,0.00,0.09,0.09,0.09,0.11,0.04,0.15,0.11,0.15
1636,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,33-310,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
1637,Lucas Michal,fr FRA,"FW,MF",Monaco,fr Ligue 1,19-241,2005,5,0,86,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,3,3,9,0.00,0.00,0.00,0.00,0.00,0.21,0.95,1.16,0.21,1.16
1638,Florian Micheler,at AUT,MF,Hoffenheim,de Bundesliga,19-276,2005,1,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1639,Miguel,es ESP,FW,Leganés,es La Liga,25-167,1999,23,16,1455,16.2,1,3,4,0,1,2,3,0,4.1,2.5,1.4,3.9,12,15,76,0.06,0.19,0.25,0.00,0.19,0.25,0.09,0.34,0.15,0.24
1640,Valentin Mihaila,ro ROU,"FW,MF",Parma,it Serie A,25-015,2000,21,16,1288,14.3,0,3,3,0,0,0,2,0,2.4,2.4,1.2,3.6,25,41,72,0.00,0.21,0.21,0.00,0.21,0.17,0.08,0.25,0.17,0.25
1641,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,24-109,2000,22,8,897,10.0,6,1,7,5,1,2,1,0,6.4,4.7,1.1,5.8,22,35,86,0.60,0.10,0.70,0.50,0.60,0.64,0.11,0.75,0.48,0.58
1642,Igor Miladinović,rs SRB,"FW,MF",Saint-Étienne,fr Ligue 1,21-254,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1643,Nikola Milenković,rs SRB,DF,Nott'ham Forest,eng Premier League,27-128,1997,24,24,2160,24.0,2,1,3,2,0,0,2,0,3.1,3.1,0.3,3.3,2,39,4,0.08,0.04,0.12,0.08,0.12,0.13,0.01,0.14,0.13,0.14
1644,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,18-292,2006,6,0,80,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,4,3,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46
1645,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27-363,1997,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1646,Éder Militão,br BRA,DF,Real Madrid,es La Liga,27-030,1998,12,11,938,10.4,1,1,2,1,0,0,2,0,0.6,0.6,0.5,1.1,7,46,1,0.10,0.10,0.19,0.10,0.19,0.06,0.05,0.11,0.06,0.11
1647,Luis Milla,es ESP,MF,Getafe,es La Liga,30-133,1994,21,21,1866,20.7,1,2,3,0,1,1,3,0,1.5,0.7,1.9,2.6,23,104,21,0.05,0.10,0.14,0.00,0.10,0.07,0.09,0.16,0.03,0.13
1648,Pere Milla,es ESP,"MF,FW",Espanyol,es La Liga,32-147,1992,9,1,229,2.5,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,5,18,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15
1649,Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,22-215,2002,21,17,1410,15.7,4,2,6,4,0,1,5,0,6.3,5.4,2.1,7.5,26,93,99,0.26,0.13,0.38,0.26,0.38,0.40,0.13,0.53,0.35,0.48
1650,James Milner,eng ENG,MF,Brighton,eng Premier League,39-044,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1651,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,28-094,1996,21,21,1825,20.3,2,0,2,2,0,0,2,0,1.4,1.4,0.3,1.6,13,161,4,0.10,0.00,0.10,0.10,0.10,0.07,0.01,0.08,0.07,0.08
1652,Yerry Mina,co COL,DF,Cagliari,it Serie A,30-147,1994,21,21,1719,19.1,0,0,0,0,0,0,6,1,1.9,1.9,0.3,2.2,10,57,8,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.12,0.10,0.12
1653,Takumi Minamino,jp JPN,"MF,FW",Monaco,fr Ligue 1,30-032,1995,19,16,1336,14.8,2,3,5,2,0,0,2,0,5.1,5.1,5.0,10.1,29,76,116,0.13,0.20,0.34,0.13,0.34,0.34,0.34,0.68,0.34,0.68
1654,Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,21-043,2004,4,3,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,6,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
1655,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,31-341,1993,7,5,543,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,23,0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
1656,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,es La Liga,25-280,1999,21,19,1633,18.1,2,5,7,2,0,0,3,1,0.8,0.8,4.7,5.5,46,110,118,0.11,0.28,0.39,0.11,0.39,0.05,0.26,0.30,0.05,0.30
1657,Kim Minsu,kr KOR,"MF,FW",Girona,es La Liga,19-029,2006,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1658,Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20-210,2004,20,9,928,10.3,5,2,7,5,0,0,6,0,2.8,2.8,3.2,5.9,44,23,110,0.48,0.19,0.68,0.48,0.68,0.27,0.31,0.58,0.27,0.58
1659,Bojan Miovski,mk MKD,FW,Girona,es La Liga,25-238,1999,11,9,638,7.1,2,1,3,2,0,0,0,0,2.7,2.7,0.1,2.8,3,2,28,0.28,0.14,0.42,0.28,0.42,0.37,0.02,0.39,0.37,0.39
1660,Rafa Mir,es ESP,"FW,MF",Valencia,es La Liga,27-244,1997,7,3,314,3.5,0,1,1,0,0,0,2,0,1.8,1.8,0.4,2.2,3,4,6,0.00,0.29,0.29,0.00,0.29,0.52,0.11,0.63,0.52,0.63
1661,Juan Miranda,es ESP,DF,Bologna,it Serie A,25-029,2000,20,14,1339,14.9,0,4,4,0,0,0,3,0,0.3,0.3,4.0,4.3,25,91,54,0.00,0.27,0.27,0.00,0.27,0.02,0.27,0.29,0.02,0.29
1662,Fabio Miretti,it ITA,"MF,FW",Genoa,it Serie A,21-198,2003,18,15,1154,12.8,1,3,4,1,0,0,0,0,1.8,1.8,1.6,3.4,24,42,60,0.08,0.23,0.31,0.08,0.31,0.14,0.13,0.27,0.14,0.27
1663,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,25-169,1999,25,25,2149,23.9,0,3,3,0,0,0,2,0,0.6,0.6,4.2,4.8,45,50,125,0.00,0.13,0.13,0.00,0.13,0.03,0.18,0.20,0.03,0.20
1664,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,eng Premier League,27-273,1997,25,22,1980,22.0,6,3,9,6,0,0,0,0,5.3,5.3,4.3,9.5,114,69,236,0.27,0.14,0.41,0.27,0.41,0.24,0.19,0.43,0.24,0.43
1665,Maximilian Mittelstädt,de GER,DF,Stuttgart,de Bundesliga,27-336,1997,20,17,1519,16.9,1,4,5,1,0,0,4,0,0.6,0.6,3.1,3.7,39,110,92,0.06,0.24,0.30,0.06,0.30,0.04,0.18,0.22,0.04,0.22
1666,Koji Miyoshi,jp JPN,"FW,MF",Bochum,de Bundesliga,27-328,1997,13,6,434,4.8,1,0,1,1,0,0,0,1,1.1,1.1,0.8,1.9,10,14,22,0.21,0.00,0.21,0.21,0.21,0.23,0.16,0.39,0.23,0.39
1667,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,36-027,1989,23,22,1754,19.5,1,3,4,1,0,0,3,0,1.3,1.3,1.7,3.0,50,143,74,0.05,0.15,0.21,0.05,0.21,0.07,0.09,0.16,0.07,0.16
1668,Jakub Moder,pl POL,MF,Brighton,eng Premier League,25-316,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45
1669,Rui Modesto,ao ANG,DF,Udinese,it Serie A,25-133,1999,10,2,249,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,17,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
1670,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,39-161,1985,23,8,975,10.8,1,3,4,1,0,0,5,0,1.2,1.2,4.2,5.3,31,95,33,0.09,0.28,0.37,0.09,0.37,0.11,0.38,0.49,0.11,0.49
1671,Max Moerstedt,de GER,FW,Hoffenheim,de Bundesliga,,,11,4,394,4.4,0,0,0,0,0,0,2,0,0.7,0.7,0.3,1.0,6,9,33,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.23,0.15,0.23
1672,Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,27-081,1997,19,6,708,7.9,3,0,3,3,0,0,2,0,3.3,3.3,0.2,3.5,9,16,33,0.38,0.00,0.38,0.38,0.38,0.43,0.02,0.45,0.43,0.45
1673,Johan Mojica,co COL,DF,Mallorca,es La Liga,32-180,1992,23,20,1841,20.5,1,2,3,1,0,0,4,0,0.7,0.7,2.4,3.1,41,94,82,0.05,0.10,0.15,0.05,0.15,0.04,0.12,0.15,0.04,0.15
1674,David Mokwa,fr FRA,"DF,FW",Hoffenheim,de Bundesliga,20-290,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,1.21,0.00,1.21,1.21,1.21
1675,Alberto Moleiro,es ESP,"FW,MF",Las Palmas,es La Liga,21-140,2003,23,21,1789,19.9,4,0,4,4,0,0,4,0,4.5,4.5,2.4,6.9,62,81,134,0.20,0.00,0.20,0.20,0.20,0.23,0.12,0.35,0.23,0.35
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1676,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,26-317,1998,17,12,1045,11.6,0,3,3,0,0,0,0,0,0.5,0.5,1.3,1.9,27,41,61,0.00,0.26,0.26,0.00,0.26,0.05,0.11,0.16,0.05,0.16
1677,Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,33-090,1991,9,3,242,2.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7,3,9,12,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.24,0.12,0.24
1678,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,26-280,1998,22,18,1490,16.6,0,0,0,0,0,0,7,0,1.5,1.5,2.1,3.6,17,73,39,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22
1679,Gonzalo Montiel,ar ARG,"DF,MF",Sevilla,es La Liga,28-047,1997,6,1,113,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1680,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28-363,1996,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1681,Mikey Moore,eng ENG,"FW,MF",Tottenham,eng Premier League,17-190,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26
1682,Álvaro Morata,es ESP,"FW,MF",Milan,it Serie A,32-117,1992,16,13,1099,12.2,5,0,5,5,0,0,5,0,3.9,3.9,0.8,4.7,18,26,63,0.41,0.00,0.41,0.41,0.41,0.32,0.07,0.39,0.32,0.39
1683,Morato,br BRA,DF,Nott'ham Forest,eng Premier League,23-232,2001,18,4,601,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1684,Diego Moreira,pt POR,"DF,MF",Strasbourg,fr Ligue 1,20-195,2004,21,19,1709,19.0,1,5,6,1,0,0,4,0,1.4,1.4,4.9,6.3,60,58,151,0.05,0.26,0.32,0.05,0.32,0.07,0.26,0.33,0.07,0.33
1685,Alberto Moreno,es ESP,DF,Como,it Serie A,32-227,1992,17,17,1344,14.9,0,0,0,0,0,0,4,0,0.3,0.3,0.9,1.2,20,58,47,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
1686,Álex Moreno,es ESP,DF,Nott'ham Forest,eng Premier League,31-254,1993,13,10,813,9.0,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,24,29,28,0.00,0.11,0.11,0.00,0.11,0.02,0.11,0.12,0.02,0.12
1687,Gerard Moreno,es ESP,FW,Villarreal,es La Liga,32-316,1992,12,6,599,6.7,3,1,4,0,3,3,0,0,4.2,1.8,3.0,4.9,11,44,50,0.45,0.15,0.60,0.00,0.15,0.63,0.46,1.09,0.28,0.73
1688,Matias Moreno,ar ARG,DF,Fiorentina,it Serie A,21-146,2003,2,2,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
1689,Tete Morente,es ESP,"FW,MF",Lecce,it Serie A,28-075,1996,21,14,1288,14.3,3,1,4,3,0,0,2,0,2.1,2.1,0.7,2.8,30,65,92,0.21,0.07,0.28,0.21,0.28,0.15,0.05,0.20,0.15,0.20
1690,Mateu Morey,es ESP,DF,Mallorca,es La Liga,24-352,2000,8,4,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,9,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
1691,Ilaix Moriba,gn GUI,MF,Celta Vigo,es La Liga,22-029,2003,20,13,1189,13.2,0,1,1,0,0,0,7,1,0.5,0.5,1.1,1.6,24,68,34,0.00,0.08,0.08,0.00,0.08,0.04,0.09,0.12,0.04,0.12
1692,Manu Morlanes,es ESP,MF,Mallorca,es La Liga,26-036,1999,16,12,1031,11.5,0,0,0,0,0,0,5,0,0.4,0.4,0.2,0.6,14,64,27,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
1693,Nikola Moro,hr CRO,MF,Bologna,it Serie A,26-342,1998,16,12,979,10.9,0,2,2,0,0,0,0,0,0.5,0.5,0.8,1.3,12,74,18,0.00,0.18,0.18,0.00,0.18,0.04,0.08,0.12,0.04,0.12
1694,Raúl Moro,es ESP,"FW,MF",Valladolid,es La Liga,22-074,2002,19,14,1306,14.5,3,1,4,3,0,0,1,0,1.8,1.8,3.2,5.1,64,50,111,0.21,0.07,0.28,0.21,0.28,0.13,0.22,0.35,0.13,0.35
1695,Sam Morsy,eg EGY,MF,Ipswich Town,eng Premier League,33-160,1991,22,21,1903,21.1,1,1,2,1,0,0,7,0,0.3,0.3,0.7,1.0,10,86,9,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.05,0.01,0.05
1696,Gabriel Moscardo,br BRA,MF,Reims,fr Ligue 1,19-142,2005,3,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
1697,Cristhian Mosquera,es ESP,DF,Valencia,es La Liga,20-235,2004,23,23,2059,22.9,1,0,1,1,0,0,5,0,0.4,0.4,0.0,0.4,20,67,5,0.04,0.00,0.04,0.04,0.04,0.02,0.00,0.02,0.02,0.02
1698,Daniel Mosquera,co COL,FW,Hellas Verona,it Serie A,25-120,1999,23,6,826,9.2,4,1,5,4,0,0,2,0,3.9,3.9,1.3,5.1,9,18,57,0.44,0.11,0.54,0.44,0.54,0.42,0.14,0.56,0.42,0.56
1699,Yerson Mosquera,co COL,DF,Wolves,eng Premier League,23-291,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
1700,Dany Mota,pt POR,"MF,FW",Monza,it Serie A,26-291,1998,20,15,1290,14.3,4,0,4,4,0,0,2,0,2.8,2.8,0.8,3.7,35,33,94,0.28,0.00,0.28,0.28,0.28,0.20,0.06,0.26,0.20,0.26
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1701,Yael Mouanga,fr FRA,DF,Montpellier,fr Ligue 1,19-209,2005,5,3,340,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,10,2,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07
1702,Aimen Moueffek,fr FRA,MF,Saint-Étienne,fr Ligue 1,23-314,2001,12,5,496,5.5,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,6,15,6,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16
1703,Youssoufa Moukoko,de GER,"FW,MF",Nice,fr Ligue 1,20-089,2004,11,2,204,2.3,2,1,3,2,0,0,0,0,2.2,2.2,0.8,3.0,2,6,12,0.88,0.44,1.32,0.88,1.32,0.96,0.36,1.32,0.96,1.32
1704,Steve Mounié,bj BEN,FW,Augsburg,de Bundesliga,30-141,1994,11,1,245,2.7,0,0,0,0,0,0,2,0,1.4,1.4,0.0,1.4,7,7,21,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53
1705,Mason Mount,eng ENG,"MF,FW",Manchester Utd,eng Premier League,26-038,1999,8,4,247,2.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,8,5,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18
1706,Santiago Mouriño,uy URU,DF,Alavés,es La Liga,23-004,2002,13,8,769,8.5,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,10,23,0,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08
1707,Louis Mouton,fr FRA,MF,Saint-Étienne,fr Ligue 1,22-259,2002,17,12,894,9.9,0,1,1,0,0,0,2,0,1.2,1.2,1.1,2.3,13,38,32,0.00,0.10,0.10,0.00,0.10,0.12,0.11,0.23,0.12,0.23
1708,Divin Mubama,eng ENG,FW,Manchester City,eng Premier League,20-115,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
1709,Mykhailo Mudryk,ua UKR,FW,Chelsea,eng Premier League,24-043,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73
1710,Ngal'Ayel Mukau,cd COD,MF,Lille,fr Ligue 1,20-079,2004,14,9,803,8.9,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.7,14,42,25,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
1711,Nordi Mukiele,fr FRA,DF,Leverkusen,de Bundesliga,27-108,1997,10,7,576,6.4,0,0,0,0,0,0,4,0,0.8,0.8,0.6,1.4,10,20,20,0.00,0.00,0.00,0.00,0.00,0.13,0.09,0.22,0.13,0.22
1712,Florian Müller,de GER,GK,Freiburg,de Bundesliga,27-096,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1713,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,33-339,1991,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1714,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31-220,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1715,Thomas Müller,de GER,"MF,FW",Bayern Munich,de Bundesliga,35-157,1989,19,6,736,8.2,1,2,3,1,0,0,3,0,2.6,2.6,1.9,4.5,16,36,89,0.12,0.24,0.37,0.12,0.37,0.32,0.23,0.55,0.32,0.55
1716,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,26-256,1998,21,21,1803,20.0,2,1,3,2,0,0,6,1,0.5,0.5,0.2,0.7,10,35,4,0.10,0.05,0.15,0.10,0.15,0.03,0.01,0.03,0.03,0.03
1717,Marshall Munetsi,zw ZIM,FW,Wolves,eng Premier League,28-240,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,2,1,0.00,0.00,0.00,0.00,0.00,1.19,0.00,1.19,1.19,1.19
1718,Marshall Munetsi,zw ZIM,MF,Reims,fr Ligue 1,28-240,1996,19,19,1692,18.8,4,2,6,4,0,0,5,0,4.0,4.0,2.0,5.9,8,26,48,0.21,0.11,0.32,0.21,0.32,0.21,0.11,0.32,0.21,0.32
1719,Rodrigo Muniz,br BRA,FW,Fulham,eng Premier League,23-289,2001,24,5,687,7.6,4,1,5,4,0,0,1,0,3.9,3.9,0.6,4.5,4,19,25,0.52,0.13,0.66,0.52,0.66,0.51,0.08,0.59,0.51,0.59
1720,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,27-185,1997,13,8,584,6.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,23,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
1721,Álex Muñoz,es ESP,DF,Las Palmas,es La Liga,30-202,1994,14,12,983,10.9,3,0,3,3,0,0,1,0,0.7,0.7,0.4,1.2,10,34,37,0.27,0.00,0.27,0.27,0.27,0.07,0.04,0.11,0.07,0.11
1722,Daniel Muñoz,co COL,DF,Crystal Palace,eng Premier League,28-267,1996,24,24,2073,23.0,2,3,5,2,0,0,5,0,3.5,3.5,3.6,7.1,32,59,142,0.09,0.13,0.22,0.09,0.22,0.15,0.16,0.31,0.15,0.31
1723,Iker Muñoz,es ESP,MF,Osasuna,es La Liga,22-104,2002,12,3,355,3.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,12,5,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
1724,Javier Muñoz,es ESP,"MF,DF",Las Palmas,es La Liga,29-355,1995,24,18,1711,19.0,0,2,2,0,0,0,2,0,0.8,0.8,2.0,2.8,24,75,62,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15
1725,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,26-102,1998,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1726,Murillo,br BRA,DF,Nott'ham Forest,eng Premier League,22-228,2002,24,24,2118,23.5,1,0,1,1,0,0,5,0,1.1,1.1,1.1,2.1,13,72,4,0.04,0.00,0.04,0.04,0.04,0.05,0.05,0.09,0.05,0.09
1727,Vedat Muriqi,xk KVX,FW,Mallorca,es La Liga,30-299,1994,19,15,1367,15.2,6,2,8,5,1,1,1,2,6.4,5.6,1.3,6.9,15,25,71,0.40,0.13,0.53,0.33,0.46,0.42,0.08,0.51,0.37,0.46
1728,Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,29-359,1995,22,18,1431,15.9,4,7,11,4,0,0,2,0,2.6,2.6,6.3,8.9,50,53,131,0.25,0.44,0.69,0.25,0.69,0.16,0.40,0.56,0.16,0.56
1729,Bob Murphy Omoregbe,it ITA,MF,Milan,it Serie A,21-104,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
