,,,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Performance,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
Rk,Player,Gls/90,G/Sh,G/SoT,SoT%,SoT/90,Sh/90,G-PK/90,PK/90,PKatt/90,Dist,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Pos,-9999
277,Marinho,0.2,0.05,0.17,29.5,0.9,3.2,0.2,0.1,0.2,24.2,2021,30,br BRA,Santos,br Série A,27,2220,24.7,26,1,0,FWMF,c077c735
278,Júnior Santos,0.2,0.10,0.25,38.1,1.0,2.6,0.2,0.0,0.0,16.5,2024,29,br BRA,Botafogo (RJ),br Série A,24,1481,16.5,16,8,1,FW,9109e933
279,Renato Augusto,0.2,0.11,0.31,35.1,0.8,2.2,0.2,0.0,0.0,21.1,2021,32,br BRA,Corinthians,br Série A,21,1483,16.5,16,5,1,MFFW,83a6367a
280,Pablo,0.2,0.10,0.25,41.0,1.0,2.4,0.2,0.0,0.0,16.9,2022,29,br BRA,Ath Paranaense,br Série A,25,1493,16.6,17,8,3,FW,1ad394c5
281,Martín Benítez,0.2,0.08,0.30,27.8,0.8,2.9,0.2,0.0,0.0,24.6,2023,28,ar ARG,América (MG),br Série A,20,1120,12.4,14,6,6,MFFW,c122e34e
282,Diego Souza,0.2,0.10,0.29,35.9,0.5,1.3,0.1,0.1,0.1,16.6,2019,33,br BRA,Botafogo (RJ),br Série A,32,2623,29.1,30,2,2,FWMF,273a2635
283,Thiago Galhardo,0.2,0.05,0.16,31.7,0.9,2.9,0.1,0.1,0.1,16.9,2023,33,br BRA,Fortaleza,br Série A,33,1876,20.8,20,13,0,FWMF,766f48dd
284,Everton Ribeiro,0.2,0.13,0.41,31.5,0.6,1.8,0.2,0.0,0.0,19.9,2020,30,br BRA,Flamengo,br Série A,33,2633,29.3,31,2,0,MFFW,68fb50a2
285,Ademir Santos,0.2,0.10,0.23,44.8,1.0,2.3,0.2,0.0,0.0,16.0,2024,28,br BRA,Bahia,br Série A,31,1131,12.6,10,21,1,FWMF,4b7d58c2
286,Gustavo Mosquito,0.2,0.20,0.60,33.3,0.4,1.2,0.2,0.0,0.0,13.6,2022,24,br BRA,Corinthians,br Série A,22,1132,12.6,13,9,6,FWMF,c9ed46c4
287,Artur,0.2,0.11,0.29,36.2,0.8,2.2,0.2,0.0,0.0,16.8,2023,24,br BRA,Palmeiras,br Série A,31,1896,21.1,22,9,4,FW,105132cd
288,Breno,0.2,0.10,0.25,39.2,0.9,2.4,0.2,0.0,0.0,20.7,2024,28,br BRA,2 Teams,br Série A,32,1897,21.1,22,10,2,FWMF,e0016d00
289,Bergson da Silva,0.2,0.07,0.16,41.3,1.5,3.6,0.2,0.0,0.1,17.8,2019,27,br BRA,Ceará,br Série A,22,1141,12.7,12,10,13,FW,056bea46
290,Jhon Arias,0.2,0.15,0.43,35.0,0.5,1.4,0.2,0.0,0.0,19.3,2022,24,co COL,Fluminense,br Série A,33,2663,29.6,31,2,1,FWMF,86d96066
291,David,0.2,0.14,0.37,38.8,0.6,1.7,0.2,0.0,0.0,15.3,2020,24,br BRA,Fortaleza,br Série A,35,2664,29.6,35,0,0,FWMF,92f9ace5
292,Anselmo Ramon,0.2,0.07,0.33,20.0,0.4,1.8,0.1,0.1,0.1,13.7,2021,32,br BRA,Chapecoense,br Série A,24,1529,17.0,21,3,3,FW,3a0381ae
293,Luciano,0.2,0.12,0.24,50.0,1.0,2.0,0.2,0.0,0.0,14.6,2021,27,br BRA,São Paulo,br Série A,22,1530,17.0,19,3,0,FWMF,24ce161c
294,Jhonatan Jowjow,0.2,0.16,0.30,52.6,0.8,1.5,0.2,0.0,0.0,18.4,2024,21,br BRA,Red Bull Bragantino,br Série A,18,1157,12.9,16,2,3,MFFW,f82517a8
295,Ribamar,0.2,0.09,0.27,32.4,0.9,2.6,0.2,0.0,0.0,12.6,2019,21,br BRA,Vasco da Gama,br Série A,21,1162,12.9,15,6,5,FW,2d1494d9
296,David,0.2,0.11,0.33,31.9,0.7,2.2,0.2,0.0,0.0,18.1,2021,25,br BRA,Fortaleza,br Série A,32,1937,21.5,23,9,0,FW,92f9ace5
297,Bitelo,0.2,0.13,0.57,22.6,0.4,1.8,0.2,0.0,0.0,18.9,2023,23,br BRA,Grêmio,br Série A,19,1550,17.2,18,1,0,MFFW,d4b69f94
298,Igor Paixão,0.2,0.09,0.33,25.5,0.7,2.7,0.2,0.0,0.0,19.8,2022,21,br BRA,Coritiba,br Série A,18,1552,17.2,17,1,0,FWMF,089c7323
299,Jonathan Júnior,0.2,0.10,0.33,30.0,0.7,2.3,0.2,0.0,0.0,17.0,2019,19,br BRA,Avaí,br Série A,16,1172,13.0,13,3,0,FW,c15dbe64
300,Gustavo Scarpa,0.2,0.04,0.09,41.8,1.3,3.2,0.1,0.1,0.2,26.0,2019,25,br BRA,Palmeiras,br Série A,27,1564,17.4,19,8,2,MFFW,2964fd20
301,Luiz Araújo,0.2,0.08,0.24,32.1,1.0,3.0,0.2,0.0,0.0,20.9,2024,27,br BRA,Flamengo,br Série A,25,1566,17.4,15,10,0,FWMF,fa18c72e
302,Rossi,0.2,0.12,0.29,41.2,0.6,1.6,0.2,0.0,0.0,16.8,2020,26,br BRA,Bahia,br Série A,34,1964,21.8,20,14,1,FWMF,80274d82
303,Patrick,0.2,0.17,0.63,27.6,0.4,1.3,0.2,0.0,0.0,13.5,2022,29,br BRA,São Paulo,br Série A,31,1964,21.8,24,7,4,MFFW,92add14e
304,David,0.2,0.12,0.57,21.2,0.4,1.9,0.2,0.0,0.0,20.3,2024,28,br BRA,Vasco da Gama,br Série A,23,1588,17.6,20,3,0,FW,92f9ace5
305,Ytalo,0.2,0.09,0.22,39.7,1.0,2.6,0.2,0.0,0.0,17.4,2020,32,br BRA,Red Bull Bragantino,br Série A,31,1988,22.1,25,6,5,FW,423e3d0b
306,Vitinho,0.2,0.07,0.29,25.0,0.8,3.2,0.2,0.0,0.0,23.6,2021,27,br BRA,Flamengo,br Série A,31,1594,17.7,18,13,3,MFFW,a9e68c94
307,Dudu,0.2,0.10,0.26,39.1,0.9,2.2,0.2,0.0,0.0,17.3,2022,30,br BRA,Palmeiras,br Série A,38,2815,31.3,36,2,0,FW,895ef5ec
308,Fabrício,0.2,0.07,0.25,26.1,0.9,3.4,0.2,0.0,0.0,21.0,2021,23,br BRA,América (MG),br Série A,22,1207,13.4,14,8,2,FWMF,0211a29e
309,Germán Cano,0.2,0.10,0.20,47.6,1.1,2.3,0.2,0.0,0.0,16.8,2024,35,ar ARG,Fluminense,br Série A,27,1611,17.9,20,7,2,FW,9ccf4e14
310,Artur,0.2,0.11,0.39,28.6,0.6,2.0,0.2,0.0,0.0,22.5,2019,20,br BRA,Bahia,br Série A,32,2821,31.3,32,0,0,FWMF,105132cd
311,Marcos Paulo,0.2,0.11,0.43,25.9,0.5,2.0,0.2,0.0,0.0,15.3,2020,18,br BRA,Fluminense,br Série A,24,1210,13.4,14,10,3,FWMF,d70a5433
312,Isidro Pitta,0.2,0.06,0.20,30.8,0.6,2.1,0.1,0.1,0.1,17.5,2024,24,py PAR,Cuiabá,br Série A,35,2831,31.5,33,2,0,FW,e9fc7295
313,Mike,0.2,0.13,0.33,40.0,0.5,1.3,0.2,0.0,0.1,18.9,2021,27,br BRA,Chapecoense,br Série A,30,2027,22.5,26,4,2,FWMF,f50a3b89
314,Nathan,0.2,0.09,0.25,37.5,0.9,2.4,0.2,0.0,0.0,18.7,2020,23,br BRA,Atlético Mineiro,br Série A,27,1217,13.5,13,14,3,MFFW,fa00f0c9
315,Dimitri Payet,0.2,0.15,0.50,30.8,0.3,1.0,0.1,0.1,0.1,27.2,2024,36,fr FRA,Vasco da Gama,br Série A,23,1220,13.6,16,7,1,MFFW,58ae47b2
316,Deyverson,0.2,0.17,0.33,50.0,0.7,1.3,0.2,0.0,0.1,14.8,2024,32,br BRA,2 Teams,br Série A,21,1221,13.6,14,7,1,FW,2e5e846d
317,Rony,0.2,0.06,0.22,28.4,1.0,3.5,0.2,0.0,0.0,19.3,2019,23,br BRA,Ath Paranaense,br Série A,30,2443,27.1,28,2,2,FWMF,bffd5e50
318,Rony,0.2,0.09,0.33,27.3,0.7,2.4,0.2,0.0,0.0,16.7,2021,25,br BRA,Palmeiras,br Série A,25,1634,18.2,19,6,3,FWMF,bffd5e50
319,Clayson,0.2,0.11,0.36,31.1,0.6,2.0,0.2,0.0,0.0,21.6,2024,28,br BRA,Cuiabá,br Série A,33,2043,22.7,28,5,3,FWMF,85c1009d
320,Jonathan Calleri,0.2,0.12,0.38,30.2,0.6,1.9,0.2,0.0,0.0,13.2,2024,30,ar ARG,São Paulo,br Série A,27,2047,22.7,24,3,1,FW,6922f806
321,Gustavo Nunes,0.2,0.17,0.43,38.9,0.5,1.3,0.2,0.0,0.0,19.0,2024,18,br BRA,Grêmio,br Série A,20,1238,13.8,11,9,0,FWMF,e504780f
322,Adson,0.2,0.11,0.38,29.6,0.6,2.0,0.2,0.0,0.0,18.5,2022,21,br BRA,Corinthians,br Série A,25,1239,13.8,13,12,3,FWMF,eda38706
323,Vitor Bueno,0.2,0.03,0.12,27.0,0.7,2.7,0.1,0.1,0.1,26.8,2023,28,br BRA,Ath Paranaense,br Série A,32,2075,23.1,25,7,3,MFFW,5752f96d
324,Lucas Braga,0.2,0.13,0.28,46.2,0.8,1.7,0.2,0.0,0.0,17.7,2022,25,br BRA,Santos,br Série A,33,2078,23.1,22,11,1,FWMF,8a0a73ad
325,Helinho,0.2,0.10,0.25,40.8,0.9,2.1,0.2,0.0,0.0,22.8,2021,20,br BRA,Red Bull Bragantino,br Série A,33,2084,23.2,24,9,0,FWMF,5837cb60
326,Taison,0.2,0.12,0.27,44.1,0.8,1.8,0.2,0.0,0.0,21.4,2021,33,br BRA,Internacional,br Série A,22,1668,18.5,22,0,1,MFFW,7272a72a
327,João Paulo Alves,0.2,0.05,0.20,25.0,0.4,1.7,0.1,0.1,0.1,23.5,2019,28,br BRA,Avaí,br Série A,28,2085,23.2,22,6,5,MFFW,888b3b6c
328,Marco Ruben,0.2,0.09,0.25,35.6,0.9,2.4,0.2,0.0,0.0,11.7,2019,32,ar ARG,Ath Paranaense,br Série A,23,1671,18.6,19,4,4,FW,30795728
329,Dalberto,0.2,0.09,0.27,34.4,0.8,2.3,0.2,0.0,0.0,14.5,2020,25,br BRA,Sport Recife,br Série A,15,1264,14.0,15,0,0,FW,a328595b
330,Lima,0.2,0.13,0.35,36.2,0.6,1.7,0.2,0.0,0.0,21.8,2023,26,br BRA,Fluminense,br Série A,35,2532,28.1,26,9,0,MFFW,d215c7de
331,Erick,0.2,0.13,0.23,56.4,0.9,1.7,0.2,0.0,0.0,14.8,2024,27,br BRA,Juventude,br Série A,35,2112,23.5,26,9,1,FW,f50ae991
332,João Pedro,0.2,0.07,0.19,36.8,1.1,3.0,0.2,0.0,0.0,14.2,2019,17,br BRA,Fluminense,br Série A,25,1694,18.8,18,7,3,FW,e8832875
333,Pedro Henrique,0.2,0.06,0.22,25.0,0.6,2.5,0.1,0.1,0.1,17.2,2023,32,br BRA,Internacional,br Série A,26,1271,14.1,14,12,2,FWMF,460976a2
334,Rómulo Otero,0.2,0.04,0.13,32.4,1.6,5.0,0.2,0.0,0.0,27.1,2019,26,ve VEN,Atlético Mineiro,br Série A,20,1272,14.1,14,6,3,FWMF,96fdc3c0
335,Leandro Carvalho,0.2,0.08,0.19,40.0,1.1,2.8,0.2,0.0,0.0,23.4,2019,23,br BRA,Ceará,br Série A,26,1281,14.2,15,11,7,FWMF,492812cf
336,Helinho,0.2,0.07,0.25,26.1,0.6,2.4,0.2,0.1,0.1,21.2,2022,21,br BRA,Red Bull Bragantino,br Série A,31,1710,19.0,19,12,0,FWMF,5837cb60
337,Rony,0.2,0.07,0.18,36.7,1.2,3.1,0.2,0.0,0.0,13.6,2024,28,br BRA,Palmeiras,br Série A,35,1721,19.1,17,18,2,FW,bffd5e50
338,Eduardo Sasha,0.2,0.08,0.23,33.3,0.9,2.7,0.2,0.0,0.0,15.6,2022,29,br BRA,Atlético Mineiro,br Série A,27,1291,14.3,16,11,5,FWMF,b938b871
339,Jenison,0.2,0.11,0.40,28.6,0.5,1.8,0.2,0.0,0.0,14.3,2021,29,br BRA,Cuiabá,br Série A,30,1727,19.2,22,8,2,FW,767e6b7f
340,Jonathan David Gómez,0.2,0.04,0.13,31.4,0.7,2.1,0.1,0.1,0.1,26.1,2019,29,ar ARG,CSA,br Série A,26,2159,24.0,25,1,1,MFFW,c911d311
341,Alisson,0.2,0.10,0.24,42.5,0.9,2.1,0.2,0.0,0.0,19.8,2019,25,br BRA,Grêmio,br Série A,22,1728,19.2,22,0,6,FW,99139fa4
342,Patrick,0.2,0.15,0.50,30.0,0.4,1.4,0.2,0.0,0.0,13.8,2020,27,br BRA,Internacional,br Série A,33,2603,28.9,32,1,0,MFFW,92add14e
343,Everton Soares,0.2,0.07,0.16,45.5,1.3,2.8,0.2,0.0,0.0,18.7,2023,26,br BRA,Flamengo,br Série A,33,1741,19.3,21,12,5,FWMF,b1cbc666
344,Romarinho,0.2,0.09,0.43,20.0,0.5,2.4,0.2,0.0,0.0,20.9,2022,27,br BRA,Fortaleza,br Série A,26,1310,14.6,17,9,7,FWMF,1e7d2cc0
345,Felipe Azevedo,0.2,0.09,0.27,33.3,0.8,2.3,0.2,0.0,0.0,17.3,2023,36,br BRA,América (MG),br Série A,30,1748,19.4,25,5,3,FWMF,4a22b15a
346,Fred,0.2,0.05,0.11,41.9,0.7,1.8,0.1,0.1,0.1,14.6,2019,35,br BRA,Cruzeiro,br Série A,30,2203,24.5,23,7,2,FW,acaeba74
347,Luiz Adriano,0.2,0.13,0.27,45.8,0.7,1.6,0.2,0.0,0.0,14.4,2023,35,br BRA,Internacional,br Série A,29,1330,14.8,17,12,6,FW,2557c196
348,Jonathan Cafu,0.2,0.25,0.50,50.0,0.3,0.5,0.1,0.1,0.1,19.8,2021,29,br BRA,Cuiabá,br Série A,29,1330,14.8,14,15,5,FWMF,8d043f1d
349,Paulinho Bóia,0.2,0.06,0.15,40.6,0.9,2.2,0.1,0.1,0.1,23.9,2021,22,br BRA,Juventude,br Série A,20,1330,14.8,17,3,0,FWMF,bc486f0e
350,Wesley,0.2,0.08,0.24,35.4,0.9,2.4,0.2,0.0,0.0,14.9,2023,23,br BRA,Cruzeiro,br Série A,29,1775,19.7,22,7,3,FWMF,434de3a3
351,Arthur,0.2,0.09,0.25,36.4,0.8,2.2,0.2,0.0,0.0,19.5,2023,24,br BRA,Cruzeiro,br Série A,20,1350,15.0,17,3,1,FWMF,184ad240
352,Yimmi Chará,0.2,0.08,0.23,34.2,0.9,2.5,0.2,0.0,0.0,16.2,2019,27,co COL,Atlético Mineiro,br Série A,18,1352,15.0,17,1,0,FWMF,9df9baab
353,Shaylon,0.2,0.10,0.27,35.5,0.7,2.1,0.2,0.0,0.0,21.9,2022,24,br BRA,Atl Goianiense,br Série A,28,1354,15.0,15,13,4,FWMF,69c11ef0
354,Gabriel Sara,0.2,0.08,0.33,25.0,0.6,2.4,0.2,0.0,0.0,22.5,2020,20,br BRA,São Paulo,br Série A,33,2280,25.3,29,4,0,MFFW,135d500d
355,Guilherme Parede,0.2,0.10,0.43,22.6,0.5,2.0,0.2,0.0,0.0,18.2,2019,23,br BRA,Internacional,br Série A,25,1368,15.2,14,11,13,FWMF,2da1c94c
356,Gabriel Taliari,0.2,0.08,0.33,25.0,0.6,2.4,0.2,0.0,0.1,20.9,2024,26,br BRA,Juventude,br Série A,21,914,10.2,8,13,2,FW,75a16442
357,Thonny Anderson,0.2,0.08,0.20,39.5,1.0,2.5,0.2,0.0,0.0,17.0,2019,21,br BRA,Ath Paranaense,br Série A,23,1372,15.2,16,7,8,FWMF,7a7c9837
358,Gustavo Scarpa,0.2,0.04,0.14,28.8,1.0,3.6,0.1,0.0,0.0,25.5,2021,27,br BRA,Palmeiras,br Série A,31,1836,20.4,21,10,3,MFFW,2964fd20
359,Braian Romero,0.2,0.11,0.40,26.3,0.5,1.9,0.2,0.0,0.0,18.1,2019,27,ar ARG,Ath Paranaense,br Série A,16,921,10.2,10,6,22,FWMF,c5cc3130
360,Helinho,0.2,0.07,0.18,39.5,1.1,2.8,0.2,0.0,0.0,23.1,2023,22,br BRA,Red Bull Bragantino,br Série A,24,1384,15.4,20,4,2,FW,5837cb60
361,Lima,0.2,0.12,0.33,35.3,0.6,1.7,0.2,0.0,0.0,23.1,2024,27,br BRA,Fluminense,br Série A,30,1847,20.5,20,10,1,MFFW,d215c7de
362,Keno,0.2,0.08,0.27,28.8,0.7,2.5,0.2,0.0,0.0,17.6,2022,32,br BRA,Atlético Mineiro,br Série A,29,1855,20.6,22,7,0,FWMF,98558c11
363,Brenner Marlos,0.2,0.06,0.33,18.8,0.3,1.6,0.1,0.1,0.1,15.7,2019,24,br BRA,2 Teams,br Série A,14,928,10.3,12,2,10,FW,77bc33b7
364,Artur,0.2,0.07,0.24,30.9,0.8,2.6,0.2,0.0,0.0,18.9,2022,23,br BRA,Red Bull Bragantino,br Série A,33,2787,31.0,32,1,0,FWMF,105132cd
365,Felipe Azevedo,0.2,0.08,0.25,32.8,0.8,2.4,0.2,0.0,0.0,19.5,2021,34,br BRA,América (MG),br Série A,37,2326,25.8,31,6,0,FWMF,4a22b15a
366,Janderson,0.2,0.08,0.27,27.5,0.7,2.6,0.2,0.0,0.0,20.6,2024,24,br BRA,2 Teams,br Série A,28,1396,15.5,14,14,4,FWMF,8b89c34e
367,Léo Chú,0.2,0.15,0.50,30.0,0.4,1.3,0.2,0.0,0.0,16.8,2020,19,br BRA,Ceará,br Série A,22,1401,15.6,20,2,1,FW,d88ebbe9
368,Marcos Vinicios Sorriso,0.2,0.06,0.15,41.9,1.2,3.0,0.2,0.0,0.0,18.2,2023,21,br BRA,Red Bull Bragantino,br Série A,23,938,10.4,8,15,14,FWDF,e816a8ee
369,Guilherme,0.2,0.08,0.21,37.8,0.9,2.4,0.2,0.0,0.0,17.0,2023,27,br BRA,Fortaleza,br Série A,30,1414,15.7,16,14,4,FWMF,58649f05
370,Cléber,0.2,0.07,0.18,38.6,1.1,2.8,0.2,0.0,0.1,15.8,2021,24,br BRA,Ceará,br Série A,28,1416,15.7,14,14,4,FW,e539e239
371,Rodriguinho Marinho,0.2,0.06,0.27,23.4,0.5,2.2,0.1,0.0,0.1,19.3,2021,32,br BRA,Bahia,br Série A,34,1892,21.0,24,10,3,FWMF,0e335a47
372,Everaldo,0.2,0.06,0.18,35.4,0.8,2.3,0.1,0.0,0.0,21.6,2022,27,br BRA,América (MG),br Série A,29,1892,21.0,25,4,0,MFFW,bdb57777
373,Kaio Jorge,0.2,0.13,0.67,19.4,0.3,1.5,0.2,0.0,0.0,15.9,2020,18,br BRA,Santos,br Série A,28,1893,21.0,23,5,1,FW,0cf465f2
374,Yeferson Soteldo,0.2,0.06,0.15,41.9,0.6,1.5,0.1,0.1,0.1,19.3,2020,22,ve VEN,Santos,br Série A,24,1899,21.1,20,4,2,FWMF,bbb6c951
375,Élber,0.2,0.08,0.19,44.4,1.0,2.3,0.2,0.0,0.0,18.7,2020,27,br BRA,Bahia,br Série A,22,1427,15.9,17,5,0,FWMF,0df8c3bc
376,Thiago Borbas,0.2,0.11,0.22,47.4,0.8,1.8,0.2,0.0,0.0,14.9,2024,21,uy URU,Red Bull Bragantino,br Série A,21,956,10.6,9,12,1,FW,04f9c45f
377,Vitinho,0.2,0.05,0.20,25.6,0.9,3.7,0.2,0.0,0.0,20.6,2020,26,br BRA,Flamengo,br Série A,29,956,10.6,9,20,7,MFFW,a9e68c94
378,Arthur,0.2,0.11,0.57,18.4,0.3,1.8,0.2,0.0,0.0,18.6,2019,20,br BRA,Chapecoense,br Série A,30,1920,21.3,18,12,5,MFFW,184ad240
379,Thaciano,0.2,0.06,0.25,25.0,0.5,2.0,0.1,0.1,0.1,17.3,2023,27,br BRA,Bahia,br Série A,35,2887,32.1,35,0,1,MFFW,139113e4
380,Ricardo Oliveira,0.2,0.10,0.33,30.0,0.6,1.9,0.2,0.0,0.0,16.9,2020,39,br BRA,Coritiba,br Série A,18,964,10.7,10,8,3,FW,420c1246
381,Isidro Pitta,0.2,0.07,0.23,32.8,0.8,2.5,0.2,0.0,0.0,18.2,2022,22,py PAR,Juventude,br Série A,32,2413,26.8,27,5,1,FW,e9fc7295
382,Nathan,0.2,0.06,0.18,30.6,1.0,3.4,0.2,0.0,0.0,24.9,2022,25,br BRA,Fluminense,br Série A,24,967,10.7,8,16,9,MFFW,fa00f0c9
383,Franco Di Santo,0.2,0.07,0.22,31.0,0.6,1.8,0.1,0.1,0.1,15.7,2019,29,ar ARG,Atlético Mineiro,br Série A,21,1453,16.1,16,5,1,FW,549c6ba7
384,Yony González,0.2,0.06,0.17,32.7,1.1,3.3,0.2,0.0,0.0,15.4,2019,24,co COL,Fluminense,br Série A,34,2915,32.4,34,0,0,MFFW,c6c88c7d
385,Diego Tardelli,0.2,0.11,0.21,52.8,0.9,1.7,0.2,0.0,0.0,17.4,2019,33,br BRA,Grêmio,br Série A,29,1944,21.6,23,6,0,FW,98682f30
386,Janderson,0.2,0.08,0.33,25.0,0.6,2.2,0.2,0.0,0.0,17.6,2019,19,br BRA,Corinthians,br Série A,20,974,10.8,10,10,5,MFFW,06c5bcf7
387,Breno,0.2,0.13,0.50,25.0,0.4,1.5,0.2,0.0,0.0,17.5,2020,24,br BRA,Palmeiras,br Série A,18,975,10.8,9,9,0,FWMF,e0016d00
388,Reinaldo,0.2,0.09,0.50,18.2,0.2,1.4,0.1,0.1,0.1,22.0,2022,32,br BRA,São Paulo,br Série A,28,1463,16.3,18,10,4,DFFW,ab3edc87
389,Mayke,0.2,0.30,0.38,80.0,0.5,0.6,0.2,0.0,0.0,14.8,2022,29,br BRA,Palmeiras,br Série A,28,1466,16.3,15,13,5,DFFW,47431289
390,Everton Ribeiro,0.2,0.14,0.33,40.9,0.5,1.3,0.2,0.0,0.0,21.9,2023,33,br BRA,Flamengo,br Série A,30,1475,16.4,15,15,4,FWMF,68fb50a2
391,Rodriguinho Marinho,0.2,0.06,0.23,26.5,0.8,3.0,0.2,0.0,0.0,16.9,2022,33,br BRA,Cuiabá,br Série A,33,1481,16.5,16,17,3,FWMF,0e335a47
392,Matheusinho,0.2,0.10,0.23,42.3,0.8,1.9,0.2,0.0,0.0,21.2,2024,26,br BRA,Vitória,br Série A,33,2469,27.4,32,1,0,MFFW,91c2ee76
393,Ganso,0.2,0.10,0.40,25.0,0.2,0.7,0.1,0.1,0.1,24.4,2022,32,br BRA,Fluminense,br Série A,33,2477,27.5,33,0,1,MFFW,23593121
394,João Paulo Alves,0.2,0.07,0.33,22.0,0.4,1.9,0.1,0.0,0.0,22.4,2021,30,br BRA,Atl Goianiense,br Série A,26,1987,22.1,22,4,0,MFFW,888b3b6c
395,Fabrício,0.2,0.07,0.30,23.8,0.6,2.5,0.2,0.0,0.0,19.8,2022,24,br BRA,Coritiba,br Série A,28,1500,16.7,19,9,2,FWMF,0211a29e
396,Marcelinho,0.2,0.06,0.17,37.5,1.1,2.9,0.2,0.0,0.0,20.0,2024,21,br BRA,Juventude,br Série A,25,1002,11.1,9,16,5,FWMF,c158eb1d
397,Nenê,0.2,0.13,0.30,43.5,0.6,1.4,0.2,0.0,0.0,23.9,2024,42,br BRA,Juventude,br Série A,28,1506,16.7,19,9,5,MFFW,265ebd37
398,Eduardo Vargas,0.2,0.07,0.25,29.6,0.7,2.4,0.2,0.0,0.1,16.9,2020,30,cl CHI,Atlético Mineiro,br Série A,16,1007,11.2,12,4,0,FW,bd603c00
399,Wanderson,0.2,0.09,0.20,45.5,0.9,2.0,0.2,0.0,0.0,20.2,2024,29,br BRA,Internacional,br Série A,23,1015,11.3,10,13,3,FWMF,5da33b33
400,Ribamar,0.2,0.05,0.15,35.1,1.1,3.3,0.2,0.0,0.1,14.4,2021,23,br BRA,América (MG),br Série A,20,1022,11.4,11,9,10,FWMF,2d1494d9
401,Alesson,0.2,0.09,0.22,40.9,0.8,1.9,0.2,0.0,0.0,15.6,2022,22,br BRA,Cuiabá,br Série A,21,1024,11.4,11,10,5,MFFW,611e984e
402,Emiliano Rigoni,0.2,0.06,0.22,29.0,0.8,2.7,0.2,0.0,0.0,19.3,2021,27,ar ARG,São Paulo,br Série A,30,2060,22.9,24,6,0,FWMF,a1216563
403,Lincoln,0.2,0.08,0.29,26.9,0.4,1.5,0.1,0.1,0.1,24.2,2024,25,br BRA,Red Bull Bragantino,br Série A,28,1552,17.2,19,9,6,MFFW,27504df8
404,Luan,0.2,0.08,0.40,20.4,0.4,2.1,0.2,0.0,0.0,21.2,2019,28,br BRA,Atlético Mineiro,br Série A,28,2085,23.2,24,4,5,MFFW,22fc8906
405,Erick,0.2,0.03,0.10,32.3,0.9,2.7,0.1,0.1,0.1,20.0,2022,24,br BRA,Ceará,br Série A,24,1051,11.7,10,14,8,FWMF,8edcad0d
406,Carlos de Pena,0.2,0.05,0.18,28.3,0.6,2.1,0.1,0.1,0.1,26.1,2022,29,uy URU,Internacional,br Série A,34,2634,29.3,30,4,0,MFFW,6b915aa1
407,Luiz Henrique,0.2,0.08,0.40,19.2,0.4,2.2,0.2,0.0,0.0,17.1,2022,21,br BRA,Fluminense,br Série A,14,1054,11.7,12,2,0,FWMF,8059806f
408,Henry Mosquera,0.2,0.07,0.29,25.0,0.6,2.4,0.2,0.0,0.0,20.6,2023,21,co COL,Red Bull Bragantino,br Série A,21,1061,11.8,10,11,1,FWMF,be206004
409,Rafael Sóbis,0.2,0.02,0.06,34.8,1.4,3.9,0.1,0.1,0.1,25.7,2019,33,br BRA,Internacional,br Série A,20,1062,11.8,12,8,8,FWMF,aed1e36b
410,Victor Sá,0.2,0.09,0.20,42.6,0.8,2.0,0.2,0.0,0.0,18.5,2023,28,br BRA,Botafogo (RJ),br Série A,33,2127,23.6,27,6,0,FW,1a1033a1
411,Talles Magno,0.2,0.07,0.25,27.6,0.7,2.5,0.2,0.0,0.0,17.5,2019,16,br BRA,Vasco da Gama,br Série A,15,1065,11.8,12,3,1,FWMF,64c98878
412,Matheus Martins,0.2,0.06,0.25,25.0,0.7,2.7,0.2,0.0,0.0,17.9,2022,18,br BRA,Fluminense,br Série A,30,1604,17.8,17,13,1,FWMF,73fd2787
413,Bruno Tabata,0.2,0.08,0.18,45.8,0.9,2.0,0.2,0.0,0.1,23.8,2024,26,br BRA,Internacional,br Série A,17,1071,11.9,14,3,0,FWMF,33fdf90d
414,Isaque,0.2,0.06,0.20,29.4,0.8,2.9,0.2,0.0,0.0,14.9,2020,22,br BRA,Grêmio,br Série A,24,1072,11.9,11,13,9,MFFW,c3d8820e
415,Osvaldo,0.2,0.05,0.10,52.6,0.8,1.6,0.1,0.1,0.1,22.9,2024,36,br BRA,Vitória,br Série A,19,1072,11.9,17,2,3,MFFW,deb6b945
416,Nenê,0.2,0.05,0.25,20.5,0.4,2.2,0.1,0.1,0.1,22.2,2019,37,br BRA,Fluminense,br Série A,25,1615,17.9,19,6,1,MFFW,265ebd37
417,Marcos Guilherme,0.2,0.15,0.33,44.1,0.5,1.1,0.2,0.0,0.0,16.4,2021,25,br BRA,Santos,br Série A,35,2694,29.9,32,3,1,FWMF,d5ff6084
418,Luan Vieira,0.2,0.08,0.22,36.0,0.7,2.0,0.2,0.0,0.0,20.7,2020,26,br BRA,Corinthians,br Série A,22,1103,12.3,11,11,10,MFFW,c4f6bf06
